distance,altitude,link_dir,tx_beam,rx_beam,mcs,tx_mask22,tx_mask23,tx_mask24,rx_mask22,rx_mask23,rx_mask24,tx_gain_idx,rx_rf_gain_idx,rx_if_gain_idx,stf_snr,post_snr,rssi,rssi std,tx temp,rx temp,eirp,pRx,path_loss
32,6,1to2,37,39,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,2,6,18.06666667,14.86666667,-13.8,0.4,27,33,41.32210397,-72.97277876,114.2948827
32,6,1to2,37,40,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,2,13,13.86666667,11.73333333,-9.533333333,0.618241233,27,33,41.32210397,-77.63685241,118.9589564
32,6,1to2,37,41,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,3,8,6.333333333,5.333333333,-18.4,1.624807681,27,33,41.32210397,-83.63496469,124.9570687
32,6,1to2,38,0,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,3,11,6.2,4.266666667,-13.86666667,0.718021974,26,32,41.34624927,-84.92413076,126.27038
32,6,1to2,38,1,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,4,8,1,3,-16,2,26,32,41.34624927,-91.30438274,132.650632
32,6,1to2,38,3,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,4,5,2.6,3,-15.13333333,0.718021974,26,32,41.34624927,-87.78780219,129.1340515
32,6,1to2,38,5,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,3,11,2.533333333,2.933333333,-17.46666667,1.499629584,26,32,41.34624927,-87.66305403,129.0093033
32,6,1to2,38,32,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,3,9,7.933333333,5.4,-15,0.730296743,26,32,41.34624927,-82.69975009,124.0459994
32,6,1to2,38,33,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,3,8,7.933333333,5.933333333,-16.2,2.006655592,26,32,41.34624927,-82.60592471,123.952174
32,6,1to2,38,34,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,2,10,13.6,9.2,-16.6,0.711805217,26,32,41.34624927,-77.96198577,119.308235
32,6,1to2,38,35,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,4,5,5,4.533333333,-14.66666667,1.398411798,26,32,41.34624927,-87.40338704,128.7496363
32,6,1to2,38,36,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,2,5,19.13333333,13.66666667,-12.6,1.624807681,26,32,41.34624927,-71.64817624,112.9944255
32,6,1to2,38,37,1,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,0Xfff,25,1,9,19.46666667,14.13333333,-15.86666667,1.454494949,26,32,41.34624927,-70.24159354,111.5878428
